Molecule_id,Canonical_SMILES,Source
CHEMBL4288052,CC(C)CCN1C(=O)CS/C1=N\N=C1/C[C@H]2CC[C@]1(C)C2(C)C,S1
CHEMBL4288053,COc1cc(-c2cc(=O)c3ccc(OCCn4cnc5ccc([N+](=O)[O-])cc54)cc3o2)cc(OC)c1OC,S1
CHEMBL4288054,C=C1C[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)NCCNC(=O)c6ccc(Br)cc6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@H]2C(C)(C)C1=O,S1
CHEMBL4288055,CC1(C)Oc2cc(NS(=O)(=O)c3cccs3)ccc2NC1=O,S1
CHEMBL4288056,Cn1cccc1-c1ncnc2c1cnn2CCN1CCCCC1,S1
CHEMBL4288057,Cc1cc(OCc2nnc(SCc3ccccc3)o2)cc2oc(=O)cc(C)c12,S1
CHEMBL4288138,COCCCN1CCN(CCCCOc2ccc(N3C(=O)S/C(=C\c4ccc(Oc5ccc(Cl)cc5)cc4)C3=O)cc2)CC1,S1
CHEMBL4288139,Cc1cc(=O)oc2cc(OCCCCOC(Cn3cncn3)c3ccc(F)cc3F)ccc12,S1
CHEMBL4288140,Nc1ccccc1NC(=O)c1ccc(CSC(=S)N2CCN(Cc3ccncc3)CC2)cc1,S1
CHEMBL4288141,C[C@@H](Nc1nc(N[C@H](C)C2CC2)nc(-c2cccc(C(F)F)n2)n1)C1CC1,S1
CHEMBL4288222,COc1ncc(-c2ccc3nccc(=O)n3c2)cc1NS(=O)(=O)c1cccc(F)c1,S1
CHEMBL4288223,C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@]4(CO4)[C@@H]3C[C@H]12,S1
CHEMBL4288224,Cc1ncc([N+](=O)[O-])n1CC(O)Cn1c2ccccc2c2ccccc21,S1
CHEMBL4288225,COc1cc2c(N3CCN(C(=O)c4ccccc4)CC3)nc(N(C)C)nc2cc1OC1CCCC1,S1
CHEMBL4288226,Cc1ccc(C2=C(c3cccc(Cl)c3)C(=O)OC2)cc1,S1
CHEMBL4288227,O=c1cc(-c2ccc(OCCOCCOCCn3cc(-c4cccc(-c5cn(CCOCCOCCOc6ccc(-c7cc(=O)c8cc(F)ccc8o7)cc6)nn5)c4)nn3)cc2)oc2ccc(F)cc12,S1
CHEMBL4288311,Cc1ccc(Cc2cc(O)n(-c3cc(C(=O)O)ccn3)n2)c(F)c1,S1
CHEMBL4288312,CC(C)c1cccc(C(C)C)c1NC(=O)[C@H]1CC[C@H](CSc2nc3ccccc3o2)CC1,S1
CHEMBL4288313,Fc1ccc2c(c1)C(Cl)=C(Cn1ccnc1)CS2,S1
CHEMBL4288314,COC(=O)[C@@]12[C@@H]3[C@H]4OC(=O)[C@]3(C)C[C@@H]3[C@]1(C)[C@@H](C=C1C(=CC(=O)OC1(C)C)[C@@]3(C)O)O[C@]2(O)[C@H](C)O4,S1
CHEMBL4288315,Oc1ccc(-c2n[nH]cc2-c2cccc(Cl)c2)c(O)c1O,S1
CHEMBL4288394,Cn1nccc1Cn1c(=O)c2cc(S(=O)(=O)NC3(C)CC3)ccc2n(C)c1=O,S1
CHEMBL4288395,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(-c3ccc(SC)cc3)cc2)[C@H]1NC(C)=O,S1
CHEMBL4288396,COc1cc(C2C(C#N)=C(N)Oc3c2ccc2[nH]c(NC(=O)C4CC4)nc32)cc(Br)c1OC,S1
CHEMBL4288397,CC1(C)C(=O)C2=C(O[C@]3(CC[C@H]4C[C@@H]3C4(C)C)C[C@@H]2c2ccccc2)C(C)(C)C1=O,S1
CHEMBL4288398,CN1Cc2c(Cl)cc(Cl)cc2[C@H](c2cccc(S(=O)(=O)NCCOCCOCCNC(=O)NCCN(CCNC(=O)NCCOCCOCCNS(=O)(=O)c3cccc([C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc54)c3)C(=O)CCCOCCOCCOCCOCCC(=O)N(CCNC(=O)NCCOCCOCCNS(=O)(=O)c3cccc([C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc54)c3)CCNC(=O)NCCOCCOCCNS(=O)(=O)c3cccc([C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc54)c3)c2)C1,S1
CHEMBL4288483,Cc1c(O)cccc1C(=O)c1ccc(-c2cc(Cl)c(O)c(Cl)c2)s1,S1
CHEMBL4288484,CC(C)NCC1=C(Cl)c2cc(Br)ccc2SC1,S1
CHEMBL4288485,C1SSCSSS1,S1
CHEMBL4288486,O=C(N1CCC=C[C@@H]1COCc1ccccc1)n1cc(-c2ccccc2)nn1,S1
CHEMBL4288487,COc1cc(C(=O)NCCc2cccs2)cc(OC)c1OC,S1
CHEMBL4288572,NC(=O)c1cc(F)cc2[nH]c(-c3cc4c(o3)CNCC4)nc12,S1
CHEMBL4288573,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,S1
